ZON_NM,DATE,px_mean,px_max
Jeollanam-do,20180307,23.5833333333,34
Jeollanam-do,20180308,21.2173913043,58
Jeollanam-do,20180309,61.2083333333,70
Jeollanam-do,20180310,38.4166666667,77
Jeollanam-do,20180311,54.75,101
Jeollanam-do,20180312,77.125,116
Jeollanam-do,20180313,29.8333333333,85
Jeollanam-do,20180314,26.375,71
Jeollanam-do,20180315,14.5416666667,27
Jeollanam-do,20180316,16.4166666667,29
Jeollanam-do,20180317,25.5,44
Jeollanam-do,20180318,30.875,49
Jeollanam-do,20180319,9.77272727273,19
Jeollanam-do,20180320,11.7083333333,20
Jeollanam-do,20180321,6.30434782609,20
Jeollanam-do,20180322,22.5833333333,41
Jeollanam-do,20180323,42.2380952381,67
Jeollanam-do,20180324,57.1666666667,95
Jeollanam-do,20180325,69.75,108
Jeollanam-do,20180326,59.4166666667,125
Jeollanam-do,20180327,53.4166666667,82
Jeollanam-do,20180328,46.0416666667,62
Jeollanam-do,20180329,36.0833333333,59
Jeollanam-do,20180330,44.8260869565,70
Jeollanam-do,20180331,54.5833333333,70
Jeollanam-do,20180401,60.375,79
Jeollanam-do,20180402,57.1428571429,74
Jeollanam-do,20180403,46.7916666667,81
Jeollanam-do,20180404,16.8571428571,58
Jeollanam-do,20180405,4.78260869565,10
Jeollanam-do,20180406,65.8333333333,235
Jeollanam-do,20180407,42.5833333333,68
Jeollanam-do,20180408,36.1666666667,65
Jeollanam-do,20180409,56.5833333333,86
Jeollanam-do,20180410,33.5,57
Jeollanam-do,20180411,44.4166666667,94
Jeollanam-do,20180412,38.0833333333,54
Jeollanam-do,20180413,36.5416666667,49
Jeollanam-do,20180414,14.5416666667,27
Jeollanam-do,20180415,73.7083333333,226
Jeollanam-do,20180416,35.9583333333,58
Jeollanam-do,20180417,67.75,112
Jeollanam-do,20180418,83.125,129
Jeollanam-do,20180419,47.375,79
Jeollanam-do,20180420,73.7916666667,113
Jeollanam-do,20180421,55.5833333333,99
Jeollanam-do,20180422,27.7083333333,48
Jeollanam-do,20180423,10.1666666667,28
Jeollanam-do,20180424,5.86956521739,14
Jeollanam-do,20180425,20.9130434783,36
Jeollanam-do,20180426,34.5,64
Jeollanam-do,20180427,37.125,56
Jeollanam-do,20180428,42.375,102
Jeollanam-do,20180429,42.1666666667,67
Jeollanam-do,20180430,42.125,53
Jeollanam-do,20180501,33.8333333333,51
Jeollanam-do,20180502,18.0833333333,41
Jeollanam-do,20180503,31.125,63
Jeollanam-do,20180504,32.0,48
Jeollanam-do,20180505,25.375,50
